0.000000 -0.015363
4.300000 -0.011278
8.600000 -0.015464
12.900000 -0.015615
17.200001 -0.003393
21.500000 0.015604
25.799999 0.087167
30.100000 0.202563
34.400002 0.377243
38.700001 0.588580
43.000000 0.865939
47.299999 1.171546
51.599998 1.550883
55.900002 1.957630
60.200001 2.400812
64.500000 2.841521
68.800003 3.276458
73.099998 3.700211
77.400002 4.123899
81.699997 4.539075
86.000000 4.942549
90.300003 5.345463
94.599998 5.749262
98.900002 6.153909
103.199997 6.555427
107.500000 6.960841
111.800003 7.368753
116.099998 7.779485
120.400002 8.188380
124.699997 8.604627
129.000000 9.024523
133.300003 9.444691
137.600006 9.859713
141.899994 10.281602
146.199997 10.705084
150.500000 11.126404
154.800003 11.549925
159.100006 11.972736
163.399994 12.396772
167.699997 12.814590
172.000000 13.242413
176.300003 13.665337
180.600006 14.089445
184.899994 14.522826
189.199997 14.940407
193.500000 15.369066
197.800003 15.793132
202.100006 16.221777
206.399994 16.645958
210.699997 17.076536
215.000000 17.496761
219.300003 17.930107
223.600006 18.356888
227.899994 18.781067
232.199997 19.210318
236.500000 19.643295
240.800003 20.062757
245.100006 20.488621
249.399994 20.924099
253.699997 21.346998
258.000000 21.771713
262.299988 22.203392
266.600006 22.625500
270.899994 23.053633
275.200012 23.489410
279.500000 23.912481
283.799988 24.340046
288.100006 24.768288
292.399994 25.199863
296.700012 25.627811
301.000000 26.056664
305.299988 26.477211
309.600006 26.915939
313.899994 27.337919
318.200012 27.775230
322.500000 28.198193
326.799988 28.634130
331.100006 29.061581
335.399994 29.482359
339.700012 29.886229
344.000000 30.221493
348.299988 30.454464
352.600006 30.584995
356.899994 30.623800
361.200012 30.555786
365.500000 30.395763
369.799988 30.130301
374.100006 29.769939
378.399994 29.337523
382.700012 28.870747
387.000000 28.432417
391.299988 28.002583
395.600006 27.587048
399.899994 27.180981
404.200012 26.789448
408.500000 26.411667
412.799988 26.040768
417.100006 25.663847
421.399994 25.289261
425.700012 24.911695
430.000000 24.525015
434.299988 24.140127
438.600006 23.748394
442.899994 23.349575
447.200012 22.945122
451.500000 22.538937
455.799988 22.127544
460.100006 21.721260
464.399994 21.311462
468.700012 20.888365
473.000000 20.481306
477.299988 20.064886
481.600006 19.645100
485.899994 19.232304
490.200012 18.815237
494.500000 18.398705
498.799988 17.976204
503.100006 17.558357
507.399994 17.130209
511.700012 16.714458
516.000000 16.289944
520.299988 15.868801
524.599976 15.448400
528.900024 15.017982
533.200012 14.604736
537.500000 14.176890
541.799988 13.747370
546.099976 13.328460
550.400024 12.901519
554.700012 12.472763
559.000000 12.046463
563.299988 11.633421
567.599976 11.194178
571.900024 10.777935
576.200012 10.351202
580.500000 9.925478
584.799988 9.503092
589.099976 9.079870
593.400024 8.647221
597.700012 8.219141
602.000000 7.798271
606.299988 7.371061
610.599976 6.933942
614.900024 6.516678
619.200012 6.081255
623.500000 5.662841
627.799988 5.236957
632.099976 4.804752
636.400024 4.381071
640.700012 3.947694
645.000000 3.520525
649.299988 3.087483
653.599976 2.670480
657.900024 2.240771
662.200012 1.844932
666.500000 1.494962
670.799988 1.192073
675.099976 0.943298
679.400024 0.733135
683.700012 0.586757
688.000000 0.476480
692.299988 0.427538
696.599976 0.417560
700.900024 0.440161
705.200012 0.445295
709.500000 0.445799
713.799988 0.446587
718.099976 0.433060
722.400024 0.423729
726.700012 0.398500
731.000000 0.371983
735.299988 0.342680
739.599976 0.318034
743.900024 0.289697
748.200012 0.266246
752.500000 0.252646
756.799988 0.222276
761.099976 0.209806
765.400024 0.196122
769.700012 0.183114
774.000000 0.176382
778.299988 0.167714
782.599976 0.149430
786.900024 0.151542
791.200012 0.141974
795.500000 0.128532
799.799988 0.130748
804.099976 0.121262
808.400024 0.113662
812.700012 0.107237
817.000000 0.104395
821.299988 0.098729
825.599976 0.096771
829.900024 0.093368
834.200012 0.094069
838.500000 0.084197
842.799988 0.080963
847.099976 0.085845
851.400024 0.075497
855.700012 0.067769
860.000000 0.075552
864.299988 0.066909
868.599976 0.065417
872.900024 0.066757
877.200012 0.063638
881.500000 0.056107
885.799988 0.060589
890.099976 0.059073
894.400024 0.051421
898.700012 0.055170
903.000000 0.050216
907.299988 0.045038
911.599976 0.049104
915.900024 0.049831
920.200012 0.045862
924.500000 0.041437
928.799988 0.046362
933.099976 0.042010
937.400024 0.043950
941.700012 0.044407
946.000000 0.038583
950.299988 0.036251
954.599976 0.033153
958.900024 0.035997
963.200012 0.036160
967.500000 0.036101
971.799988 0.030903
976.099976 0.030028
980.400024 0.033941
984.700012 0.029082
989.000000 0.028036
993.299988 0.027976
997.599976 0.031866
1001.900024 0.028955
1006.200012 0.031272
1010.500000 0.033102
1014.799988 0.025584
1019.099976 0.029231
